year_trimmed_final,donor_trimmed_final,organization_name_trimmed_final,city_trimmed_final,county,state_trimmed_final,dues_paid,president_trimmed_final,delegates_trimmed_final,clubs_sending_greetings_trimmed_final,source_image,notes
1896,,Woman's Loyal Union,,Alleghany,PA,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,this document also provides month and date information for submissions. should those beincluded as well 
1896,,Phyllis Wheatley Woman's Club,Nashville,,TN,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,,Woman's League,Denver,,CO,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,Lottie Wilson,Jackson Club,Toledo,,OH,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,document notes that dues were paid from Lottie Wilson 
1896,,Woman's Club,Jackson,,TN,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,,Rose of New England League,Norwich,,CT,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,,Douglass Reading Circle,Columbus,,OH,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,Miss Rose Mitchel,,Hyannis,,MA,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,Mrs Dr B Overton,,San Jose,,CA,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,,Little Rock Branch,Little Rock,,AR,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1896,,,,,,$1.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,"no name, organization, location etc. given. only ""to cash from one uncashed check."""
1896,,Woman's League,Newport,,RI,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Woman's Club,Omaha,,NE,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,should I put the state abbreviation in the organization title if it is generic? 
1897,,Mutual Improvement Club,Normal,,AL,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Tuskegee Women's Club,Tuskegee,,AL,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Emily L Austin Club,Knoxville,,TN,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Mutual Improvement Club,Nashville,,TN,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Rose of New England League,Norwich,,CT,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Phyllis Wheatley Club,New Orleans,,LA,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Married Ladies' 19th Century Club,Grand Rapids,,MI,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,St Pierre Ruffin Club,New Bedford,,MA,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Woman's League,Washinton,,DC,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Woman's Protective Union,Washinton,,DC,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1897,,Coteral Migratory Association,Memphis,,TN,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
