source,source,variables,page number,screenshot,sheet reference
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",List of Delegates to National Conference ,30-31,https://drive.google.com/open?id=1TgMQHrpb0uTnsVQJEuxI-O1yMiAXPpWe,organizations 
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",Directory of 1896 convention,118-123,https://drive.google.com/open?id=1JspX0eNEMyTcMuZMFwlnwcLiVIH_iOsJ,organizations 
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=1uzOO8x1V8c-Ang_Xkezrw9y9VlytbnrZ,organizations 
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=1AngDcnbvtnQG_VhyBkl0mVK5CsSSBK3p,organizations 
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896","Officers of Convention of 1895, Berkeley Hall Boston MA ",4,https://drive.google.com/open?id=1kqoso4sMyS2RQTA2S2AcY2xeNpk5qm3N,Officers
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896","Officers of Convention of 1896, Nineteenth Street Baptist Church Washington D.C. ",35,https://drive.google.com/open?id=1dDp7iMEv2iWEaaGGmw-RwPVBgOc5W50X,Officers
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=1ai_8FabnZ24IlyJP7YtJ3wma_CFihu2u,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",Resolutions ,47-52,https://drive.google.com/open?id=1koTtDmrPkQfkuyyJVWlMCzZoUUWhn4Te,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=19Xc7G-nXbEklA2Asm7uzhbUxSM49OA-2,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=1e4IhIigijXAMwHuM2WR4nNf9cbhyJksD,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=1RLu6OIA79d7Ao8mvIQGcKRDKj6Bs48hg,
